A,B,C,D,E,F
14,50.31,24,222.37,-35.3912,-63.8472
39,100.01,38,348.03,28.7387,88.4482
38,98.26,13,123.56,72.2803,23.4853
20,62.56,8,78.27,19.2894,12.5267
19,60.17,36,329.97,1.63392,2.51601
18,58.17,21,195.43,7.12805,3.63192
22,66,12,114.08,-46.4261,-31.3148
24,70.52,34,312.18,-2.67652,-2.97258
23,68.3,33,303.39,-25.715,-15.4511
33,88.33,17,159.18,13.7147,8.2406
16,54.14,31,285.16,-13.5946,-6.33927
27,76.28,34,312.44,-88.3685,-37.5102
21,64.03,3,33.32,-62.7556,-39.214
32,85.99,33,303.11,-85.0015,-22.7761
2,26.15,14,132.13,-3,-5.19615
20,62.22,32,294.34,47.2552,31.874
36,94.15,37,339.27,-41.9373,-64.5776
32,86.15,24,222.11,39.0432,76.6265
12,46.48,23,213.24,78.4208,30.1029
14,50.19,19,177.28,26.0961,28.9826
33,88.47,5,51.39,22.1387,64.2952
13,48.04,4,42.39,-18.0701,-5.87132
14,50.1,24,222.52,72.1012,11.4197
15,52.48,35,321.46,-52.5861,-38.206
3,28.38,7,69.01,-18.4356,-4.59651
0,22.16,11,105.39,-2.03369,-4.56773
22,66.29,32,294.06,-20.3378,-23.396
17,56.12,13,123.47,-25.0068,-58.9123
20,62.49,32,294.16,19.5234,43.8502
13,48.43,10,96.2,-30.1109,-33.4415
4,30.08,37,339.22,-16.4207,-4.39992
18,58.02,21,195.47,90.9259,63.6669
21,64.5,3,33.38,9.88674,4.82208
36,94.22,6,60.36,-23.6721,-48.5349
1,24,37,339.03,-16.0595,-34.4397
22,66.26,5,51.26,27.8121,46.287
1,24.19,14,132.04,-52.5659,-24.5118
33,88.5,6,60.16,39.2449,34.115
1,24.41,39,357.16,-14.3394,-20.4788
25,72.09,33,303.48,88.8788,30.6034
22,66.22,27,249.1,-0.342021,-0.939692
22,66.29,29,266.98,-61.6735,-76.1603
31,84.05,1,15,-4.19335,-2.72319
24,70.16,13,123.14,-3.88573,-3.1466
17,56.52,9,87.5,15.803,2.50295
22,66.53,3,33.41,44.8318,49.7907
15,52.06,18,168.36,42.5007,11.388
7,36.12,3,33.1,23.7049,82.6685
33,88.17,19,177.41,-48.2963,-12.9409
2,26.3,26,240.5,46.5697,57.5088
19,60.15,39,356.98,-28.4942,-58.4216
34,90.09,16,150.32,45.0745,36.5006
33,88,5,51.46,-29.3444,-6.23735
37,96.23,3,33.44,13.64,14.6271
1,24.28,17,159.14,6.13799,6.58218
39,100.05,29,267.46,31.5891,48.6429
24,70.17,12,114.48,-5.14301,-3.09023
34,89.98,0,6.43,-49.209,-72.9553
33,88.21,3,33.2,0.882948,0.469471
24,70.56,8,78.53,-15.3589,-38.0145
3,28.53,22,204.19,-1.87939,-0.68404
3,28.23,17,159.1,-24.1105,-49.4337
17,56.13,14,132.36,-14.0842,-26.4884
36,94.12,11,105.07,-10.7596,-2.28703
23,68.55,19,177.23,-44.6056,-24.7253
10,42.51,18,168.55,-32.9399,-27.6398
11,44.01,6,60.51,-10.649,-7.45649
29,80.44,18,167.99,84.5344,8.88491
10,42.43,20,186.55,16.2695,36.5418
34,90.19,18,168.51,-50.0349,-31.2652
4,30,4,42.41,-57.5018,-43.3307
9,40.07,15,141.13,-19.4249,-10.3284
25,72,35,321.5,28.2827,33.7059
28,78.29,12,114.41,29.8722,49.7157
21,64.27,28,258.36,13.3962,10.4662
10,42.04,31,285.45,26.3845,37.681
25,72.32,29,267.45,-48.8567,-38.171
5,32.39,39,357.1,-59.4742,-32.967
19,60.28,15,141.4,-12.7181,-20.3531
32,86.3,37,338.99,-35.6486,-24.0453
8,37.97,30,276.18,-71.726,-6.27521
12,45.97,24,222.24,94.6742,28.9448
17,56.49,1,15.39,-0.907983,-1.78201
4,30.11,4,42.03,-95.089,-23.7083
3,28.23,3,33.29,82.693,30.0977
31,84.42,20,186.46,-64.7214,-47.0228
3,28.33,26,240.28,-31.3988,-40.1885
37,96.39,23,213.52,77.7998,13.7182
33,88.11,15,141.4,4.91491,3.44146
13,48.56,16,150.08,8.62583,16.9291
10,42.35,31,285.11,-17.2385,-22.0643
21,63.97,34,312.06,-15.4357,-53.8306
12,46.4,16,150.06,53.4604,27.2394
3,28.07,20,186.42,-34.7733,-9.31748
5,32.08,15,141.13,-55.455,-7.79369
27,76.18,0,6.14,10.1766,6.35903
5,32.02,9,87.29,8.3879,12.4356
1,24.52,18,168.4,25.3766,11.8333
4,30.04,8,78.3,5.36231,4.49951
25,72.39,22,203.99,-16.8044,-6.45062
6,33.97,16,150.38,32.6939,46.6916
20,62.16,9,87.28,-45.7497,-70.4483
5,32.38,26,239.97,-14.9227,-10.0655
13,48.49,4,42.29,-37.303,-30.2074
23,68.21,16,150.3,-15.8443,-2.22677
36,94.05,30,276.22,58.1908,80.0926
26,74.02,1,15.49,-11.6065,-7.82869
26,74.41,17,159.43,-20.5061,-20.5061
12,46.54,14,132.41,-63.0346,-28.0648
5,32.05,31,285.21,-4.31604,-4.16795
15,52.08,6,60.08,21.7916,42.7683
30,82.2,14,132.07,-39.4357,-74.1676
35,92.19,14,132.52,13.9886,11.3278
8,38.01,0,6.13,-21.7754,-75.9397
22,66.29,36,330.29,-47.0229,-64.7213
35,92.14,39,357.07,-3.53554,-3.53553
33,88.41,13,123.29,4.14519,2.79596
17,56.49,25,231.1,-48.1041,-26.6645
28,78.43,21,194.99,-35.1891,-11.4336
8,38.25,16,150.32,42.2212,82.8636
36,94.23,7,69.08,41.0024,39.5955
25,71.99,20,186.32,-13.8956,-1.70617
3,28.19,36,330.54,43.0183,61.4364
15,52.33,28,257.97,54.7939,70.1329
25,72.17,8,78.33,96.277,11.8213
28,77.99,33,303.36,31.4174,52.2872
16,54.05,10,96.39,52.5659,24.5118
31,84.48,5,51.35,-88.9806,-43.3987
21,64.39,20,186.07,-7.12805,-3.63192
26,74.06,36,330.35,-26.6646,-48.1041
5,32.41,28,258.42,49.6447,38.7866
10,42.37,25,231.12,16.6718,17.2641
37,96.42,26,240.18,33.257,7.06899
7,36.38,4,42.04,61.7161,37.0827
23,68.17,26,240.46,23.6403,18.4698
31,83.99,1,15.26,-27.0126,-94.2036
17,56,26,240.3,-9.95858,-8.35623
37,96.29,35,321.09,34.3035,45.5222
22,66.4,23,213.1,-74.9107,-33.3524
14,49.98,26,240.56,-28.679,-24.9302
2,26.46,29,267.56,-50.4554,-12.5799
39,100.32,18,168.5,-61.4364,-43.0182
34,90.07,13,123.48,20.131,29.8453
0,22.34,22,203.97,-34.8083,-3.65849
2,26.23,36,330.34,75.8384,63.6359
